Ticker,Short Name,GICS Sector,Ranking Model: Long Score,Alpha:M-6,P/E,Live PE Chg,P/B,Live P/BK Chg,P/FCF,Live P/CF Chg,Diluted EPS - 5 Year Average Growth:Y,BEst ROE BF12M,BEst ROA BF12M,Tot Buy,Tot Sell,"5 December, 2012",Closing PX ,WMAVG,,,SMAVG,,,
135     HK Equity,KUNLUN ENERGY CO,Energy,49.84,0.14,14.19,3.42,3.16,-0.33,N.A.,1.7,35.3,17.19,9.11,23,0,,15.82,15.67963636,15.63163636,15.58763636,15.6,15.556,15.518,
960     HK Equity,LONGFOR PROPERTI,Financials,49.78,0.07,8.01,3.01,2.45,-0.26,61.42,380.79,N.A.,21.04,5.52,22,0,,14.76,14.52218182,14.42254545,14.39963636,14.358,14.212,14.154,
3308    HK Equity,GOLDEN EAGLE RET,Consumer Discretionary,49.39,0.04,23.08,-0.47,5.98,-0.77,70.56,-0.35,N.A.,24.58,10.67,16,3,,18.14,18.23672727,18.26290909,18.37236364,18.298,18.284,18.342,
6823    HK Equity,HKT TRUST AND HK,Telecommunication Services,49.3,0.17,29.4,-0.48,1.65,0.02,9.47,0.83,N.A.,6.57,2.99,15,1,,7.89,7.494181818,7.410181818,7.388,7.459,7.428,7.428,
2       HK Equity,CLP HLDGS LTD,Utilities,48.94,-0.02,23.64,-6.55,2.02,-0.08,11.96,2.19,0,12.59,5.36,4,3,,67.7,67.35181818,67.25272727,67.29181818,67.255,67.155,67.115,
1114    HK Equity,BRILLIANCE CHINA,Consumer Discretionary,48.44,0.08,16.89,-1.33,4.49,-0.51,N.A.,N.A.,N.A.,28.55,17.81,23,3,,9.29,9.239636364,9.220181818,9.226545455,9.223,9.183,9.155,
54      HK Equity,HOPEWELL HLDGS,Industrials,48.44,0.28,7.4,13.59,0.84,0.01,19.71,38.34,45.21,4.18,3.11,9,1,,30.85,30.35,30.19727273,30.12909091,30.195,30.01,29.875,
THBEV   SP Equity,THAI BEVERAGE,Consumer Staples,48.02,0.12,15.8,0.14,3.88,-0.07,17.54,-1.25,N.A.,25.7,N.A.,5,0,,0.39,0.396545455,0.398545455,0.400727273,0.4,0.401,0.402,
151     HK Equity,WANT WANT CHINA,Consumer Staples,47.98,0.04,39.77,-4.29,13.99,-1.79,55.31,-5.23,N.A.,38.55,18.35,14,4,,11.4,11.344,11.32145455,11.31709091,11.322,11.276,11.216,
358     HK Equity,JIANGXI COPPER-H,Materials,47.95,-0.01,11.4,-1.04,1.39,-0.09,79.94,3.32,14.57,12.66,7.44,12,6,,20.2,19.71709091,19.60109091,19.56036364,19.634,19.562,19.516,
405     HK Equity,YUEXIU REAL ESTA,Financials,47.89,0.03,4.22,74.82,0.61,-0.13,12.28,-3.76,57.72,1.72,1.68,6,0,,3.69,3.706181818,3.708545455,3.712909091,3.706,3.703,3.704,
SPH     SP Equity,SINGAP PRESS HGS,Consumer Discretionary,47.81,0.03,18.13,-0.72,3,0,74,-0.11,-4.82,17.19,10.03,6,4,,4.18,4.152545455,4.142181818,4.132,4.133,4.123,4.114,
KEP     SP Equity,KEPPEL CORP LTD,Industrials,47.8,-0.03,8.45,1.44,2.22,-0.03,229.29,-8.79,18.21,17.16,5.55,18,0,,10.7,10.64872727,10.62672727,10.60109091,10.622,10.579,10.529,
590     HK Equity,LUK FOOK HLDGS I,Consumer Discretionary,47.79,0.1,11.29,-0.28,2.44,-0.28,N.A.,N.A.,47.91,21.49,18.35,10,4,,23.25,22.53636364,22.27363636,22.01636364,22.035,21.805,21.585,
823     HK Equity,LINK REIT,Financials,47.72,0.26,7.18,21.98,1.52,-0.12,122.15,-1.34,341.97,5.11,4.11,13,2,,41.85,42.24818182,42.30181818,42.17181818,42.265,42.145,41.885,
SUN     SP Equity,SUNTEC REIT,Financials,47.29,0.13,5.49,15.51,0.81,0,33.12,-3.79,N.A.,3.53,2.02,13,4,,1.6,1.589090909,1.584272727,1.581727273,1.578,1.5735,1.571,
175     HK Equity,GEELY AUTOMOBILE,Consumer Discretionary,47.29,0.08,13.86,-0.57,2.15,-0.08,N.A.,-9.97,37.42,17.54,6.6,19,4,,3.82,3.658727273,3.632727273,3.659090909,3.686,3.677,3.695,
HPHT    SP Equity,HUTCHISON PORT-U,Industrials,47.27,0.02,24.67,-1.29,0.72,0.05,9.69,0.79,N.A.,3.45,1.88,12,3,,0.78,0.773181818,0.770727273,0.767818182,0.7685,0.7665,0.764,
3900    HK Equity,GREENTOWN CHINA,Financials,46.9,0.6,4.84,0.94,1.33,-0.13,N.A.,N.A.,22.18,20.23,2.96,10,1,,12.92,12.25563636,12.04981818,11.82618182,11.982,11.788,11.57,
3998    HK Equity,BOSIDENG INTL,Consumer Discretionary,46.74,0.15,9.98,0.28,2.04,-0.13,N.A.,N.A.,16.36,19.1,12.15,7,0,,2.26,2.324545455,2.341454545,2.362181818,2.34,2.353,2.364,
16      HK Equity,SUN HUNG KAI PRO,Financials,46.74,0.11,6.83,6.68,0.86,-0.03,N.A.,-19.07,37.18,6.13,4.72,14,2,,114,113.3327273,113.1690909,113.1709091,113.33,113.1,112.91,
81      HK Equity,CHINA OVERSEAS G,Financials,46.68,0.09,7.28,1.33,2.74,-0.41,N.A.,N.A.,N.A.,32.27,9.47,12,0,,8.3,8.262363636,8.246,8.230181818,8.231,8.21,8.173,
1818    HK Equity,ZHAOJIN MINING-H,Materials,46.65,0.07,21.47,-4.17,4.81,-1.07,N.A.,N.A.,31.68,25.84,14.89,16,3,,13.28,13.23454545,13.22654545,13.22218182,13.246,13.236,13.216,
YOMA    SP Equity,YOMA STRATEGIC,Industrials,46.62,0.34,168.51,-94.83,2.83,-0.46,25.51,21.82,N.A.,4.61,4.15,1,0,,0.7,0.679272727,0.673363636,0.664181818,0.67,0.6675,0.6595,
386     HK Equity,CHINA PETROLEU-H,Energy,46.6,0.02,10.25,-0.46,1.21,-0.08,N.A.,-0.21,23.07,13.57,5.96,20,4,,8.38,8.210909091,8.176545455,8.164545455,8.216,8.191,8.164,
3899    HK Equity,CIMC ENRIC HLDG,Industrials,46.22,0.3,9.18,4.6,1.43,1.13,N.A.,N.A.,34.95,20.55,10.57,10,0,,6.54,6.443272727,6.399636364,6.358363636,6.35,6.3,6.253,
UOL     SP Equity,UOL GROUP LTD,Financials,46,0.16,9.45,2.76,0.79,0.03,164.59,-10.2,60.44,6.67,4.37,7,1,,5.75,5.745636364,5.724,5.673272727,5.674,5.631,5.571,
1169    HK Equity,HAIER ELECTRONIC,Consumer Discretionary,45.99,0.06,13.88,-0.12,4.54,-0.6,N.A.,N.A.,56.17,31.91,11.17,10,0,,11.36,10.68181818,10.51818182,10.48618182,10.574,10.46,10.404,
JM      SP Equity,JARDINE MATHESON,Industrials,45.83,0.08,10.7,3.33,1.31,0.13,113.31,-3.45,42.77,10.15,4.65,6,1,,60,59.40090909,59.19545455,58.948,59.04,58.87,58.679,
SCI     SP Equity,SEMBCORP INDUS,Industrials,45.65,-0.09,11.24,0.88,2.1,-0.13,N.A.,-2.03,-0.07,16.59,6.22,16,1,,5.03,5.047090909,5.042181818,5.038727273,5.027,5.003,4.981,
883     HK Equity,CNOOC LTD,Energy,45.62,-0.01,9.51,-0.3,2.09,-0.16,N.A.,N.A.,23.18,19.13,14.23,13,5,,16.74,16.47709091,16.416,16.40145455,16.45,16.404,16.38,
1171    HK Equity,YANZHOU COAL-H,Energy,45.52,-0.23,5.58,3.48,1.1,-0.06,16.06,0.96,N.A.,9.91,4.7,7,19,,12.08,11.84327273,11.78436364,11.77818182,11.822,11.756,11.706,
813     HK Equity,SHIMAO PROPERTY,Financials,45.39,0.2,7.68,1.58,1.28,0,N.A.,N.A.,64.12,15.25,4.2,20,1,,15.34,15.37272727,15.38945455,15.456,15.432,15.432,15.446,
242     HK Equity,SHUN TAK HOLDING,Industrials,45.33,0.17,6.56,8.38,0.63,0.02,N.A.,N.A.,568.99,5.84,3.96,9,0,,3.81,3.684545455,3.633636364,3.568363636,3.591,3.53,3.471,
11      HK Equity,HANG SENG BK,Financials,45.09,0.05,12.62,0.58,2.69,-0.09,12.97,12.13,N.A.,19.29,1.64,5,8,,118.8,117.7963636,117.5181818,117.5181818,117.59,117.27,117,
3337    HK Equity,ANTON OILFIELD,Energy,45.07,0.73,34.29,-9.99,2.94,0.05,N.A.,N.A.,N.A.,14.47,8.96,10,1,,3.18,3.054,3.006363636,3,2.976,2.918,2.885,
JCNC    SP Equity,JARDINE CYCLE &,Consumer Discretionary,44.86,-0.06,12.65,0.47,3.05,-0.29,62.06,-4.47,37.03,21.8,N.A.,1,0,,47.13,47.99872727,48.20072727,48.39454545,48.246,48.241,48.216,
